Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Maryland,24,Sequelae of assault,Y87.1,10,5884563,
Total,Maryland,24,,,408,5884563,6.9
,Massachusetts,25,Assault by other and unspecified firearm discharge,X95,73,6646144,1.1
,Massachusetts,25,Assault by sharp object,X99,30,6646144,0.5
,Massachusetts,25,Assault by unspecified means,Y09,16,6646144,
Total,Massachusetts,25,,,133,6646144,2
,Michigan,26,"Assault by hanging, strangulation and suffocation",X91,16,9883360,
,Michigan,26,"Assault by rifle, shotgun and larger firearm discharge",X94,23,9883360,0.2
,Michigan,26,Assault by other and unspecified firearm discharge,X95,555,9883360,5.6
,Michigan,26,Assault by sharp object,X99,54,9883360,0.5
,Michigan,26,Assault by other specified means,Y08,11,9883360,
,Michigan,26,Assault by unspecified means,Y09,47,9883360,0.5
,Michigan,26,Sequelae of assault,Y87.1,11,9883360,
Total,Michigan,26,,,734,9883360,7.4
,Minnesota,27,Assault by other and unspecified firearm discharge,X95,57,5379139,1.1
,Minnesota,27,Assault by sharp object,X99,13,5379139,
,Minnesota,27,Assault by unspecified means,Y09,17,5379139,
Total,Minnesota,27,,,105,5379139,2
,Mississippi,28,Assault by handgun discharge,X93,53,2984926,1.8
,Mississippi,28,"Assault by rifle, shotgun and larger firearm discharge",X94,18,2984926,
,Mississippi,28,Assault by other and unspecified firearm discharge,X95,145,2984926,4.9
,Mississippi,28,Assault by sharp object,X99,26,2984926,0.9
,Mississippi,28,Assault by unspecified means,Y09,28,2984926,0.9
Total,Mississippi,28,,,293,2984926,9.8
,Missouri,29,"Assault by drugs, medicaments and biological substances",X85,11,6021988,
,Missouri,29,"Assault by hanging, strangulation and suffocation",X91,17,6021988,
,Missouri,29,Assault by handgun discharge,X93,39,6021988,0.6
,Missouri,29,"Assault by rifle, shotgun and larger firearm discharge",X94,12,6021988,
,Missouri,29,Assault by other and unspecified firearm discharge,X95,260,6021988,4.3
,Missouri,29,Assault by sharp object,X99,27,6021988,0.4
,Missouri,29,Assault by unspecified means,Y09,34,6021988,0.6
Total,Missouri,29,,,424,6021988,7
Total,Montana,30,,,24,1005141,2.4
,Nebraska,31,Assault by other and unspecified firearm discharge,X95,43,1855525,2.3
Total,Nebraska,31,,,64,1855525,3.4
,Nevada,32,Assault by other and unspecified firearm discharge,X95,71,2758931,2.6
,Nevada,32,Assault by sharp object,X99,16,2758931,
,Nevada,32,Assault by unspecified means,Y09,21,2758931,0.8
Total,Nevada,32,,,123,2758931,4.5
,New Hampshire,33,Assault by other and unspecified firearm discharge,X95,13,1320718,
Total,New Hampshire,33,,,16,1320718,
,New Jersey,34,"Assault by hanging, strangulation and suffocation",X91,12,8864590,
,New Jersey,34,Assault by other and unspecified firearm discharge,X95,273,8864590,3.1
,New Jersey,34,Assault by sharp object,X99,57,8864590,0.6
,New Jersey,34,Assault by unspecified means,Y09,40,8864590,0.5
Total,New Jersey,34,,,405,8864590,4.6
,New Mexico,35,Assault by handgun discharge,X93,34,2085538,1.6
,New Mexico,35,Assault by other and unspecified firearm discharge,X95,39,2085538,1.9
,New Mexico,35,Assault by sharp object,X99,20,2085538,1
,New Mexico,35,Assault by unspecified means,Y09,14,2085538,
Total,New Mexico,35,,,133,2085538,6.4
,New York,36,"Assault by hanging, strangulation and suffocation",X91,25,19570261,0.1
,New York,36,"Assault by rifle, shotgun and larger firearm discharge",X94,15,19570261,
,New York,36,Assault by other and unspecified firearm discharge,X95,418,19570261,2.1
,New York,36,Assault by sharp object,X99,124,19570261,0.6
,New York,36,Assault by unspecified means,Y09,93,19570261,0.5
,New York,36,Sequelae of assault,Y87.1,16,19570261,
Total,New York,36,,,730,19570261,3.7
,North Carolina,37,"Assault by hanging, strangulation and suffocation",X91,13,9752073,
,North Carolina,37,"Assault by rifle, shotgun and larger firearm discharge",X94,38,9752073,0.4
,North Carolina,37,Assault by other and unspecified firearm discharge,X95,381,9752073,3.9
,North Carolina,37,Assault by sharp object,X99,51,9752073,0.5
,North Carolina,37,Assault by unspecified means,Y09,64,9752073,0.7
Total,North Carolina,37,,,567,9752073,5.8
Total,North Dakota,38,,,16,699628,
,Ohio,39,"Assault by hanging, strangulation and suffocation",X91,37,11544225,0.3
,Ohio,39,"Assault by rifle, shotgun and larger firearm discharge",X94,11,11544225,
,Ohio,39,Assault by other and unspecified firearm discharge,X95,420,11544225,3.6
,Ohio,39,Assault by sharp object,X99,48,11544225,0.4
,Ohio,39,Assault by unspecified means,Y09,66,11544225,0.6
,Ohio,39,Sequelae of assault,Y87.1,13,11544225,
Total,Ohio,39,,,632,11544225,5.5
,Oklahoma,40,Assault by handgun discharge,X93,78,3814820,2
,Oklahoma,40,"Assault by rifle, shotgun and larger firearm discharge",X94,20,3814820,0.5
,Oklahoma,40,Assault by other and unspecified firearm discharge,X95,90,3814820,2.4
,Oklahoma,40,Assault by sharp object,X99,25,3814820,0.7
,Oklahoma,40,Assault by unspecified means,Y09,43,3814820,1.1
Total,Oklahoma,40,,,270,3814820,7.1
,Oregon,41,Assault by handgun discharge,X93,18,3899353,
,Oregon,41,Assault by other and unspecified firearm discharge,X95,29,3899353,0.7
,Oregon,41,Assault by sharp object,X99,21,3899353,0.5
,Oregon,41,Assault by unspecified means,Y09,24,3899353,0.6
Total,Oregon,41,,,110,3899353,2.8
,Pennsylvania,42,"Assault by hanging, strangulation and suffocation",X91,23,12763536,0.2
,Pennsylvania,42,Assault by other and unspecified firearm discharge,X95,537,12763536,4.2
,Pennsylvania,42,Assault by sharp object,X99,53,12763536,0.4
,Pennsylvania,42,Assault by other specified means,Y08,15,12763536,
,Pennsylvania,42,Assault by unspecified means,Y09,36,12763536,0.3
Total,Pennsylvania,42,,,698,12763536,5.5
,Rhode Island,44,Assault by other and unspecified firearm discharge,X95,15,1050292,
Total,Rhode Island,44,,,30,1050292,2.9
,South Carolina,45,"Assault by hanging, strangulation and suffocation",X91,10,4723723,
,South Carolina,45,"Assault by rifle, shotgun and larger firearm discharge",X94,16,4723723,
,South Carolina,45,Assault by other and unspecified firearm discharge,X95,256,4723723,5.4
,South Carolina,45,Assault by sharp object,X99,37,4723723,0.8
,South Carolina,45,Assault by unspecified means,Y09,29,4723723,0.6
Total,South Carolina,45,,,373,4723723,7.9
Total,South Dakota,46,,,20,833354,2.4
,Tennessee,47,"Assault by hanging, strangulation and suffocation",X91,19,6456243,
,Tennessee,47,Assault by other and unspecified firearm discharge,X95,315,6456243,4.9
,Tennessee,47,Assault by sharp object,X99,27,6456243,0.4
,Tennessee,47,Assault by other specified means,Y08,11,6456243,
,Tennessee,47,Assault by unspecified means,Y09,72,6456243,1.1
Total,Tennessee,47,,,471,6456243,7.3
,Texas,48,"Assault by hanging, strangulation and suffocation",X91,34,26059203,0.1
,Texas,48,Assault by handgun discharge,X93,42,26059203,0.2
,Texas,48,"Assault by rifle, shotgun and larger firearm discharge",X94,53,26059203,0.2
,Texas,48,Assault by other and unspecified firearm discharge,X95,799,26059203,3.1
,Texas,48,Assault by sharp object,X99,135,26059203,0.5
,Texas,48,Assault by unspecified means,Y09,198,26059203,0.8
,Texas,48,Sequelae of assault,Y87.1,20,26059203,0.1
Total,Texas,48,,,1324,26059203,5.1
,Utah,49,Assault by other and unspecified firearm discharge,X95,25,2855287,0.9
Total,Utah,49,,,46,2855287,1.6
,Virginia,51,"Assault by hanging, strangulation and suffocation",X91,12,8185867,
,Virginia,51,Assault by handgun discharge,X93,100,8185867,1.2
,Virginia,51,Assault by other and unspecified firearm discharge,X95,115,8185867,1.4
,Virginia,51,Assault by sharp object,X99,48,8185867,0.6
,Virginia,51,Assault by unspecified means,Y09,32,8185867,0.4
Total,Virginia,51,,,335,8185867,4.1
,Washington,53,"Assault by hanging, strangulation and suffocation",X91,15,6897012,
,Washington,53,Assault by handgun discharge,X93,15,6897012,
,Washington,53,Assault by other and unspecified firearm discharge,X95,105,6897012,1.5
,Washington,53,Assault by sharp object,X99,40,6897012,0.6
,Washington,53,Assault by unspecified means,Y09,30,6897012,0.4
Total,Washington,53,,,227,6897012,3.3
,West Virginia,54,Assault by handgun discharge,X93,13,1855413,
,West Virginia,54,Assault by other and unspecified firearm discharge,X95,50,1855413,2.7
,West Virginia,54,Assault by sharp object,X99,11,1855413,
,West Virginia,54,Assault by unspecified means,Y09,12,1855413,
Total,West Virginia,54,,,103,1855413,5.6
,Wisconsin,55,Assault by handgun discharge,X93,45,5726398,0.8
,Wisconsin,55,Assault by other and unspecified firearm discharge,X95,76,5726398,1.3
,Wisconsin,55,Assault by sharp object,X99,21,5726398,0.4
,Wisconsin,55,Assault by unspecified means,Y09,18,5726398,
Total,Wisconsin,55,,,187,5726398,3.3
Total,Wyoming,56,,,20,576412,3.5
Total,,,,,16688,313914040,5.3
