Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Oregon,41,Assault by other and unspecified firearm discharge,X95,47,4142776,1.1
,Oregon,41,Assault by sharp object,X99,16,4142776,
,Oregon,41,Assault by unspecified means,Y09,15,4142776,
Total,Oregon,41,,,127,4142776,3.1
,Pennsylvania,42,"Assault by drugs, medicaments and biological substances",X85,28,12805537,0.2
,Pennsylvania,42,"Assault by hanging, strangulation and suffocation",X91,14,12805537,
,Pennsylvania,42,Assault by handgun discharge,X93,14,12805537,
,Pennsylvania,42,"Assault by rifle, shotgun and larger firearm discharge",X94,16,12805537,
,Pennsylvania,42,Assault by other and unspecified firearm discharge,X95,572,12805537,4.5
,Pennsylvania,42,"Assault by smoke, fire and flames",X97,12,12805537,
,Pennsylvania,42,Assault by sharp object,X99,58,12805537,0.5
,Pennsylvania,42,Assault by unspecified means,Y09,46,12805537,0.4
Total,Pennsylvania,42,,,791,12805537,6.2
,Rhode Island,44,Assault by other and unspecified firearm discharge,X95,10,1059639,
Total,Rhode Island,44,,,19,1059639,
,South Carolina,45,"Assault by hanging, strangulation and suffocation",X91,17,5024369,
,South Carolina,45,"Assault by rifle, shotgun and larger firearm discharge",X94,10,5024369,
,South Carolina,45,Assault by other and unspecified firearm discharge,X95,324,5024369,6.4
,South Carolina,45,Assault by sharp object,X99,36,5024369,0.7
,South Carolina,45,Assault by unspecified means,Y09,27,5024369,0.5
Total,South Carolina,45,,,444,5024369,8.8
,South Dakota,46,Assault by sharp object,X99,10,869666,
Total,South Dakota,46,,,34,869666,3.9
,Tennessee,47,"Assault by rifle, shotgun and larger firearm discharge",X94,14,6715984,
,Tennessee,47,Assault by other and unspecified firearm discharge,X95,449,6715984,6.7
,Tennessee,47,Assault by sharp object,X99,33,6715984,0.5
,Tennessee,47,Assault by unspecified means,Y09,27,6715984,0.4
Total,Tennessee,47,,,557,6715984,8.3
,Texas,48,"Assault by hanging, strangulation and suffocation",X91,45,28304596,0.2
,Texas,48,Assault by handgun discharge,X93,47,28304596,0.2
,Texas,48,"Assault by rifle, shotgun and larger firearm discharge",X94,54,28304596,0.2
,Texas,48,Assault by other and unspecified firearm discharge,X95,1153,28304596,4.1
,Texas,48,Assault by sharp object,X99,128,28304596,0.5
,Texas,48,Assault by other specified means,Y08,12,28304596,
,Texas,48,Assault by unspecified means,Y09,155,28304596,0.5
,Texas,48,Sequelae of assault,Y87.1,27,28304596,0.1
Total,Texas,48,,,1653,28304596,5.8
,Utah,49,Assault by other and unspecified firearm discharge,X95,46,3101833,1.5
,Utah,49,Assault by unspecified means,Y09,10,3101833,
Total,Utah,49,,,79,3101833,2.5
Total,Vermont,50,,,15,623657,
,Virginia,51,"Assault by hanging, strangulation and suffocation",X91,13,8470020,
,Virginia,51,Assault by handgun discharge,X93,133,8470020,1.6
,Virginia,51,"Assault by rifle, shotgun and larger firearm discharge",X94,21,8470020,0.2
,Virginia,51,Assault by other and unspecified firearm discharge,X95,191,8470020,2.3
,Virginia,51,Assault by sharp object,X99,43,8470020,0.5
,Virginia,51,Assault by unspecified means,Y09,31,8470020,0.4
Total,Virginia,51,,,455,8470020,5.4
,Washington,53,"Assault by hanging, strangulation and suffocation",X91,11,7405743,
,Washington,53,Assault by handgun discharge,X93,16,7405743,
,Washington,53,Assault by other and unspecified firearm discharge,X95,143,7405743,1.9
,Washington,53,Assault by sharp object,X99,34,7405743,0.5
,Washington,53,Assault by unspecified means,Y09,36,7405743,0.5
Total,Washington,53,,,266,7405743,3.6
,West Virginia,54,Assault by handgun discharge,X93,16,1815857,
,West Virginia,54,Assault by other and unspecified firearm discharge,X95,46,1815857,2.5
,West Virginia,54,Assault by sharp object,X99,10,1815857,
,West Virginia,54,Assault by unspecified means,Y09,16,1815857,
Total,West Virginia,54,,,112,1815857,6.2
,Wisconsin,55,Assault by handgun discharge,X93,63,5795483,1.1
,Wisconsin,55,Assault by other and unspecified firearm discharge,X95,87,5795483,1.5
,Wisconsin,55,Assault by sharp object,X99,13,5795483,
Total,Wisconsin,55,,,202,5795483,3.5
Total,Wyoming,56,,,19,579315,
Total,,,,,19510,325719178,6
