Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Florida,12,By unspecified person,Y07.9,12,20271272,
,Florida,12,Assault by other specified means,Y08,12,20271272,
,Florida,12,Assault by unspecified means,Y09,102,20271272,0.5
,Florida,12,Sequelae of assault,Y87.1,28,20271272,0.1
Total,Florida,12,,,1208,20271272,6
,Georgia,13,"Assault by hanging, strangulation and suffocation",X91,18,10214860,
,Georgia,13,Assault by handgun discharge,X93,33,10214860,0.3
,Georgia,13,"Assault by rifle, shotgun and larger firearm discharge",X94,20,10214860,0.2
,Georgia,13,Assault by other and unspecified firearm discharge,X95,528,10214860,5.2
,Georgia,13,Assault by sharp object,X99,45,10214860,0.4
,Georgia,13,Assault by unspecified means,Y09,52,10214860,0.5
Total,Georgia,13,,,738,10214860,7.2
,Hawaii,15,Assault by sharp object,X99,11,1431603,
Total,Hawaii,15,,,31,1431603,2.2
,Idaho,16,Assault by other and unspecified firearm discharge,X95,14,1654930,
Total,Idaho,16,,,33,1654930,2
,Illinois,17,"Assault by drugs, medicaments and biological substances",X85,14,12859995,
,Illinois,17,"Assault by hanging, strangulation and suffocation",X91,16,12859995,
,Illinois,17,Assault by other and unspecified firearm discharge,X95,679,12859995,5.3
,Illinois,17,"Assault by smoke, fire and flames",X97,12,12859995,
,Illinois,17,Assault by sharp object,X99,47,12859995,0.4
,Illinois,17,Assault by unspecified means,Y09,49,12859995,0.4
,Illinois,17,Sequelae of assault,Y87.1,18,12859995,
Total,Illinois,17,,,863,12859995,6.7
,Indiana,18,Assault by handgun discharge,X93,26,6619680,0.4
,Indiana,18,Assault by other and unspecified firearm discharge,X95,263,6619680,4
,Indiana,18,Assault by sharp object,X99,26,6619680,0.4
,Indiana,18,Assault by unspecified means,Y09,41,6619680,0.6
Total,Indiana,18,,,389,6619680,5.9
,Iowa,19,Assault by other and unspecified firearm discharge,X95,38,3123899,1.2
,Iowa,19,Assault by sharp object,X99,10,3123899,
Total,Iowa,19,,,73,3123899,2.3
,Kansas,20,Assault by other and unspecified firearm discharge,X95,86,2911641,3
,Kansas,20,Assault by sharp object,X99,12,2911641,
,Kansas,20,Assault by unspecified means,Y09,16,2911641,
Total,Kansas,20,,,132,2911641,4.5
,Kentucky,21,Assault by handgun discharge,X93,11,4425092,
,Kentucky,21,Assault by other and unspecified firearm discharge,X95,154,4425092,3.5
,Kentucky,21,Assault by sharp object,X99,26,4425092,0.6
,Kentucky,21,Assault by unspecified means,Y09,26,4425092,0.6
Total,Kentucky,21,,,250,4425092,5.6
,Louisiana,22,"Assault by rifle, shotgun and larger firearm discharge",X94,11,4670724,
,Louisiana,22,Assault by other and unspecified firearm discharge,X95,441,4670724,9.4
,Louisiana,22,Assault by sharp object,X99,40,4670724,0.9
,Louisiana,22,Assault by unspecified means,Y09,37,4670724,0.8
,Louisiana,22,Sequelae of assault,Y87.1,10,4670724,
Total,Louisiana,22,,,569,4670724,12.2
Total,Maine,23,,,22,1329328,1.7
,Maryland,24,"Assault by hanging, strangulation and suffocation",X91,13,6006401,
,Maryland,24,"Assault by rifle, shotgun and larger firearm discharge",X94,10,6006401,
,Maryland,24,Assault by other and unspecified firearm discharge,X95,435,6006401,7.2
,Maryland,24,Assault by sharp object,X99,47,6006401,0.8
,Maryland,24,Assault by unspecified means,Y09,60,6006401,1
,Maryland,24,Sequelae of assault,Y87.1,10,6006401,
Total,Maryland,24,,,596,6006401,9.9
,Massachusetts,25,Assault by other and unspecified firearm discharge,X95,86,6794422,1.3
,Massachusetts,25,Assault by sharp object,X99,28,6794422,0.4
,Massachusetts,25,Assault by unspecified means,Y09,20,6794422,0.3
Total,Massachusetts,25,,,144,6794422,2.1
,Michigan,26,"Assault by hanging, strangulation and suffocation",X91,25,9922576,0.3
,Michigan,26,"Assault by rifle, shotgun and larger firearm discharge",X94,11,9922576,
,Michigan,26,Assault by other and unspecified firearm discharge,X95,420,9922576,4.2
,Michigan,26,Assault by sharp object,X99,54,9922576,0.5
,Michigan,26,Assault by unspecified means,Y09,49,9922576,0.5
,Michigan,26,Sequelae of assault,Y87.1,15,9922576,
Total,Michigan,26,,,597,9922576,6
,Minnesota,27,Assault by other and unspecified firearm discharge,X95,84,5489594,1.5
,Minnesota,27,Assault by sharp object,X99,12,5489594,
,Minnesota,27,Assault by unspecified means,Y09,27,5489594,0.5
Total,Minnesota,27,,,147,5489594,2.7
,Mississippi,28,Assault by handgun discharge,X93,51,2992333,1.7
,Mississippi,28,"Assault by rifle, shotgun and larger firearm discharge",X94,18,2992333,
,Mississippi,28,Assault by other and unspecified firearm discharge,X95,195,2992333,6.5
,Mississippi,28,Assault by sharp object,X99,24,2992333,0.8
,Mississippi,28,Assault by unspecified means,Y09,17,2992333,
Total,Mississippi,28,,,325,2992333,10.9
,Missouri,29,"Assault by drugs, medicaments and biological substances",X85,11,6083672,
,Missouri,29,"Assault by hanging, strangulation and suffocation",X91,12,6083672,
,Missouri,29,Assault by other and unspecified firearm discharge,X95,443,6083672,7.3
,Missouri,29,Assault by sharp object,X99,24,6083672,0.4
,Missouri,29,Assault by unspecified means,Y09,19,6083672,
Total,Missouri,29,,,547,6083672,9
,Montana,30,Assault by other and unspecified firearm discharge,X95,14,1032949,
Total,Montana,30,,,38,1032949,3.7
,Nebraska,31,Assault by other and unspecified firearm discharge,X95,47,1896190,2.5
Total,Nebraska,31,,,75,1896190,4
,Nevada,32,Assault by other and unspecified firearm discharge,X95,119,2890845,4.1
,Nevada,32,Assault by sharp object,X99,18,2890845,
,Nevada,32,Assault by unspecified means,Y09,23,2890845,0.8
Total,Nevada,32,,,191,2890845,6.6
,New Hampshire,33,Assault by other and unspecified firearm discharge,X95,12,1330608,
Total,New Hampshire,33,,,18,1330608,
,New Jersey,34,"Assault by hanging, strangulation and suffocation",X91,16,8958013,
,New Jersey,34,Assault by other and unspecified firearm discharge,X95,269,8958013,3
,New Jersey,34,Assault by sharp object,X99,37,8958013,0.4
,New Jersey,34,Assault by unspecified means,Y09,44,8958013,0.5
Total,New Jersey,34,,,388,8958013,4.3
,New Mexico,35,"Assault by rifle, shotgun and larger firearm discharge",X94,10,2085109,
,New Mexico,35,Assault by other and unspecified firearm discharge,X95,74,2085109,3.5
,New Mexico,35,Assault by sharp object,X99,28,2085109,1.3
,New Mexico,35,Assault by other specified means,Y08,11,2085109,
,New Mexico,35,Assault by unspecified means,Y09,12,2085109,
Total,New Mexico,35,,,157,2085109,7.5
,New York,36,"Assault by hanging, strangulation and suffocation",X91,19,19795791,
,New York,36,Assault by other and unspecified firearm discharge,X95,401,19795791,2
,New York,36,Assault by sharp object,X99,101,19795791,0.5
,New York,36,By unspecified person,Y07.9,10,19795791,
,New York,36,Assault by unspecified means,Y09,84,19795791,0.4
,New York,36,Sequelae of assault,Y87.1,14,19795791,
Total,New York,36,,,671,19795791,3.4
,North Carolina,37,"Assault by hanging, strangulation and suffocation",X91,22,10042802,0.2
,North Carolina,37,Assault by handgun discharge,X93,10,10042802,
,North Carolina,37,"Assault by rifle, shotgun and larger firearm discharge",X94,26,10042802,0.3
,North Carolina,37,Assault by other and unspecified firearm discharge,X95,402,10042802,4
,North Carolina,37,Assault by sharp object,X99,55,10042802,0.5
,North Carolina,37,Assault by unspecified means,Y09,52,10042802,0.5
Total,North Carolina,37,,,593,10042802,5.9
,North Dakota,38,Assault by other and unspecified firearm discharge,X95,11,756927,
Total,North Dakota,38,,,22,756927,2.9
,Ohio,39,"Assault by hanging, strangulation and suffocation",X91,17,11613423,
,Ohio,39,Assault by handgun discharge,X93,29,11613423,0.2
,Ohio,39,Assault by other and unspecified firearm discharge,X95,446,11613423,3.8
,Ohio,39,Assault by sharp object,X99,48,11613423,0.4
,Ohio,39,Assault by unspecified means,Y09,64,11613423,0.6
,Ohio,39,Sequelae of assault,Y87.1,11,11613423,
Total,Ohio,39,,,669,11613423,5.8
,Oklahoma,40,"Assault by hanging, strangulation and suffocation",X91,12,3911338,
,Oklahoma,40,Assault by handgun discharge,X93,78,3911338,2
,Oklahoma,40,"Assault by rifle, shotgun and larger firearm discharge",X94,22,3911338,0.6
,Oklahoma,40,Assault by other and unspecified firearm discharge,X95,121,3911338,3.1
,Oklahoma,40,Assault by sharp object,X99,35,3911338,0.9
,Oklahoma,40,Assault by unspecified means,Y09,48,3911338,1.2
Total,Oklahoma,40,,,324,3911338,8.3
,Oregon,41,Assault by handgun discharge,X93,16,4028977,
,Oregon,41,Assault by other and unspecified firearm discharge,X95,70,4028977,1.7
,Oregon,41,Assault by sharp object,X99,13,4028977,
,Oregon,41,Assault by unspecified means,Y09,23,4028977,0.6
Total,Oregon,41,,,138,4028977,3.4
,Pennsylvania,42,"Assault by hanging, strangulation and suffocation",X91,16,12802503,
,Pennsylvania,42,"Assault by rifle, shotgun and larger firearm discharge",X94,14,12802503,
,Pennsylvania,42,Assault by other and unspecified firearm discharge,X95,505,12802503,3.9
,Pennsylvania,42,Assault by sharp object,X99,56,12802503,0.4
,Pennsylvania,42,Assault by unspecified means,Y09,50,12802503,0.4
,Pennsylvania,42,Sequelae of assault,Y87.1,13,12802503,
Total,Pennsylvania,42,,,673,12802503,5.3
Total,Rhode Island,44,,,28,1056298,2.7
,South Carolina,45,"Assault by hanging, strangulation and suffocation",X91,12,4896146,
,South Carolina,45,"Assault by rifle, shotgun and larger firearm discharge",X94,11,4896146,
,South Carolina,45,Assault by other and unspecified firearm discharge,X95,347,4896146,7.1
,South Carolina,45,Assault by sharp object,X99,31,4896146,0.6
,South Carolina,45,Assault by unspecified means,Y09,19,4896146,
Total,South Carolina,45,,,448,4896146,9.2
,South Dakota,46,Assault by sharp object,X99,10,858469,
Total,South Dakota,46,,,35,858469,4.1
,Tennessee,47,Assault by handgun discharge,X93,11,6600299,
,Tennessee,47,"Assault by rifle, shotgun and larger firearm discharge",X94,12,6600299,
,Tennessee,47,Assault by other and unspecified firearm discharge,X95,338,6600299,5.1
,Tennessee,47,Assault by sharp object,X99,37,6600299,0.6
,Tennessee,47,Assault by unspecified means,Y09,39,6600299,0.6
Total,Tennessee,47,,,460,6600299,7
,Texas,48,"Assault by drugs, medicaments and biological substances",X85,10,27469114,
,Texas,48,"Assault by hanging, strangulation and suffocation",X91,41,27469114,0.1
,Texas,48,Assault by handgun discharge,X93,53,27469114,0.2
,Texas,48,"Assault by rifle, shotgun and larger firearm discharge",X94,60,27469114,0.2
,Texas,48,Assault by other and unspecified firearm discharge,X95,997,27469114,3.6
,Texas,48,Assault by sharp object,X99,117,27469114,0.4
,Texas,48,Assault by crashing of motor vehicle,Y03,16,27469114,
,Texas,48,By unspecified person,Y07.9,12,27469114,
,Texas,48,Assault by other specified means,Y08,10,27469114,
,Texas,48,Assault by unspecified means,Y09,186,27469114,0.7
,Texas,48,Sequelae of assault,Y87.1,13,27469114,
Total,Texas,48,,,1538,27469114,5.6
,Utah,49,Assault by other and unspecified firearm discharge,X95,37,2995919,1.2
Total,Utah,49,,,60,2995919,2
Total,Vermont,50,,,16,626042,
,Virginia,51,Assault by handgun discharge,X93,77,8382993,0.9
,Virginia,51,Assault by other and unspecified firearm discharge,X95,190,8382993,2.3
,Virginia,51,Assault by sharp object,X99,43,8382993,0.5
,Virginia,51,Assault by unspecified means,Y09,28,8382993,0.3
Total,Virginia,51,,,374,8382993,4.5
,Washington,53,"Assault by hanging, strangulation and suffocation",X91,12,7170351,
,Washington,53,Assault by handgun discharge,X93,38,7170351,0.5
,Washington,53,Assault by other and unspecified firearm discharge,X95,116,7170351,1.6
,Washington,53,Assault by sharp object,X99,20,7170351,0.3
,Washington,53,Assault by unspecified means,Y09,27,7170351,0.4
Total,Washington,53,,,239,7170351,3.3
,West Virginia,54,"Assault by rifle, shotgun and larger firearm discharge",X94,10,1844128,
,West Virginia,54,Assault by other and unspecified firearm discharge,X95,31,1844128,1.7
Total,West Virginia,54,,,80,1844128,4.3
,Wisconsin,55,Assault by handgun discharge,X93,62,5771337,1.1
,Wisconsin,55,"Assault by rifle, shotgun and larger firearm discharge",X94,13,5771337,
,Wisconsin,55,Assault by other and unspecified firearm discharge,X95,100,5771337,1.7
,Wisconsin,55,Assault by sharp object,X99,29,5771337,0.5
,Wisconsin,55,Assault by unspecified means,Y09,14,5771337,
Total,Wisconsin,55,,,243,5771337,4.2
,Wyoming,56,Assault by other and unspecified firearm discharge,X95,11,586107,
Total,Wyoming,56,,,17,586107,
Total,,,,,17793,321418820,5.5
