Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,District of Columbia,11,Terrorism involving destruction of aircraft,U01.1,15,574504,
,District of Columbia,11,Assault by other and unspecified firearm discharge,X95,137,574504,23.8
,District of Columbia,11,Assault by sharp object,X99,26,574504,4.5
Total,District of Columbia,11,,,197,574504,34.3
,Florida,12,"Assault by hanging, strangulation and suffocation",X91,47,16356966,0.3
,Florida,12,Assault by handgun discharge,X93,30,16356966,0.2
,Florida,12,"Assault by rifle, shotgun and larger firearm discharge",X94,31,16356966,0.2
,Florida,12,Assault by other and unspecified firearm discharge,X95,512,16356966,3.1
,Florida,12,Assault by sharp object,X99,116,16356966,0.7
,Florida,12,Assault by blunt object,Y00,10,16356966,
,Florida,12,Assault by bodily force,Y04,18,16356966,
,Florida,12,Assault by other specified means,Y08,38,16356966,0.2
,Florida,12,Assault by unspecified means,Y09,114,16356966,0.7
,Florida,12,Sequelae of assault,Y87.1,15,16356966,
Total,Florida,12,,,969,16356966,5.9
,Georgia,13,"Assault by hanging, strangulation and suffocation",X91,22,8377038,0.3
,Georgia,13,Assault by handgun discharge,X93,35,8377038,0.4
,Georgia,13,"Assault by rifle, shotgun and larger firearm discharge",X94,20,8377038,0.2
,Georgia,13,Assault by other and unspecified firearm discharge,X95,399,8377038,4.8
,Georgia,13,"Assault by smoke, fire and flames",X97,10,8377038,
,Georgia,13,Assault by sharp object,X99,47,8377038,0.6
,Georgia,13,Assault by blunt object,Y00,10,8377038,
,Georgia,13,Assault by other specified means,Y08,65,8377038,0.8
,Georgia,13,Assault by unspecified means,Y09,36,8377038,0.4
,Georgia,13,Sequelae of assault,Y87.1,12,8377038,
Total,Georgia,13,,,681,8377038,8.1
Total,Hawaii,15,,,34,1225948,2.8
,Idaho,16,Assault by other and unspecified firearm discharge,X95,15,1319962,
Total,Idaho,16,,,41,1319962,3.1
,Illinois,17,Terrorism involving destruction of aircraft,U01.1,10,12488445,
,Illinois,17,"Assault by hanging, strangulation and suffocation",X91,58,12488445,0.5
,Illinois,17,Assault by handgun discharge,X93,28,12488445,0.2
,Illinois,17,"Assault by rifle, shotgun and larger firearm discharge",X94,24,12488445,0.2
,Illinois,17,Assault by other and unspecified firearm discharge,X95,695,12488445,5.6
,Illinois,17,Assault by sharp object,X99,88,12488445,0.7
,Illinois,17,Assault by crashing of motor vehicle,Y03,11,12488445,
,Illinois,17,Assault by other specified means,Y08,29,12488445,0.2
,Illinois,17,Assault by unspecified means,Y09,78,12488445,0.6
,Illinois,17,Sequelae of assault,Y87.1,12,12488445,
Total,Illinois,17,,,1087,12488445,8.7
,Indiana,18,"Assault by hanging, strangulation and suffocation",X91,30,6127760,0.5
,Indiana,18,"Assault by rifle, shotgun and larger firearm discharge",X94,23,6127760,0.4
,Indiana,18,Assault by other and unspecified firearm discharge,X95,261,6127760,4.3
,Indiana,18,Assault by sharp object,X99,30,6127760,0.5
,Indiana,18,Assault by other specified means,Y08,31,6127760,0.5
,Indiana,18,Assault by unspecified means,Y09,34,6127760,0.6
Total,Indiana,18,,,437,6127760,7.1
,Iowa,19,Assault by other and unspecified firearm discharge,X95,10,2931997,
,Iowa,19,Assault by unspecified means,Y09,11,2931997,
Total,Iowa,19,,,61,2931997,2.1
,Kansas,20,Assault by other and unspecified firearm discharge,X95,82,2702162,3
,Kansas,20,Assault by sharp object,X99,15,2702162,
,Kansas,20,Assault by unspecified means,Y09,11,2702162,
Total,Kansas,20,,,143,2702162,5.3
,Kentucky,21,Assault by handgun discharge,X93,15,4068132,
,Kentucky,21,"Assault by rifle, shotgun and larger firearm discharge",X94,19,4068132,
,Kentucky,21,Assault by other and unspecified firearm discharge,X95,104,4068132,2.6
,Kentucky,21,Assault by sharp object,X99,27,4068132,0.7
,Kentucky,21,Assault by unspecified means,Y09,22,4068132,0.5
Total,Kentucky,21,,,221,4068132,5.4
,Louisiana,22,"Assault by hanging, strangulation and suffocation",X91,19,4477875,
,Louisiana,22,"Assault by rifle, shotgun and larger firearm discharge",X94,13,4477875,
,Louisiana,22,Assault by other and unspecified firearm discharge,X95,385,4477875,8.6
,Louisiana,22,Assault by sharp object,X99,38,4477875,0.8
,Louisiana,22,Assault by other specified means,Y08,26,4477875,0.6
,Louisiana,22,Assault by unspecified means,Y09,21,4477875,0.5
Total,Louisiana,22,,,541,4477875,12.1
Total,Maine,23,,,21,1285692,1.6
,Maryland,24,Terrorism involving destruction of aircraft,U01.1,50,5374691,0.9
,Maryland,24,"Assault by hanging, strangulation and suffocation",X91,10,5374691,
,Maryland,24,"Assault by rifle, shotgun and larger firearm discharge",X94,23,5374691,0.4
,Maryland,24,Assault by other and unspecified firearm discharge,X95,340,5374691,6.3
,Maryland,24,Assault by sharp object,X99,41,5374691,0.8
,Maryland,24,Assault by blunt object,Y00,30,5374691,0.6
,Maryland,24,Assault by other specified means,Y08,17,5374691,
,Maryland,24,Assault by unspecified means,Y09,14,5374691,
Total,Maryland,24,,,555,5374691,10.3
,Massachusetts,25,Terrorism involving destruction of aircraft,U01.1,91,6397634,1.4
,Massachusetts,25,Assault by other and unspecified firearm discharge,X95,73,6397634,1.1
,Massachusetts,25,Assault by sharp object,X99,42,6397634,0.7
,Massachusetts,25,Assault by bodily force,Y04,10,6397634,
Total,Massachusetts,25,,,246,6397634,3.8
,Michigan,26,"Assault by hanging, strangulation and suffocation",X91,20,9991120,0.2
,Michigan,26,"Assault by rifle, shotgun and larger firearm discharge",X94,32,9991120,0.3
,Michigan,26,Assault by other and unspecified firearm discharge,X95,459,9991120,4.6
,Michigan,26,Assault by sharp object,X99,66,9991120,0.7
,Michigan,26,By unspecified person,Y07.9,11,9991120,
,Michigan,26,Assault by other specified means,Y08,19,9991120,
,Michigan,26,Assault by unspecified means,Y09,40,9991120,0.4
,Michigan,26,Sequelae of assault,Y87.1,11,9991120,
Total,Michigan,26,,,689,9991120,6.9
,Minnesota,27,Assault by other and unspecified firearm discharge,X95,63,4982796,1.3
,Minnesota,27,Assault by sharp object,X99,20,4982796,0.4
,Minnesota,27,Assault by unspecified means,Y09,22,4982796,0.4
Total,Minnesota,27,,,127,4982796,2.5
,Mississippi,28,"Assault by hanging, strangulation and suffocation",X91,13,2852994,
,Mississippi,28,Assault by handgun discharge,X93,60,2852994,2.1
,Mississippi,28,"Assault by rifle, shotgun and larger firearm discharge",X94,33,2852994,1.2
,Mississippi,28,Assault by other and unspecified firearm discharge,X95,131,2852994,4.6
,Mississippi,28,Assault by sharp object,X99,39,2852994,1.4
,Mississippi,28,Assault by blunt object,Y00,12,2852994,
,Mississippi,28,Assault by unspecified means,Y09,18,2852994,
Total,Mississippi,28,,,326,2852994,11.4
,Missouri,29,"Assault by hanging, strangulation and suffocation",X91,19,5641142,
,Missouri,29,Assault by handgun discharge,X93,64,5641142,1.1
,Missouri,29,"Assault by rifle, shotgun and larger firearm discharge",X94,35,5641142,0.6
,Missouri,29,Assault by other and unspecified firearm discharge,X95,176,5641142,3.1
,Missouri,29,Assault by sharp object,X99,42,5641142,0.7
,Missouri,29,Assault by other specified means,Y08,11,5641142,
,Missouri,29,Assault by unspecified means,Y09,51,5641142,0.9
Total,Missouri,29,,,437,5641142,7.7
,Montana,30,Assault by other and unspecified firearm discharge,X95,10,906961,
Total,Montana,30,,,32,906961,3.5
,Nebraska,31,Assault by other and unspecified firearm discharge,X95,18,1719836,
,Nebraska,31,Assault by sharp object,X99,10,1719836,
Total,Nebraska,31,,,44,1719836,2.6
,Nevada,32,Assault by handgun discharge,X93,23,2098399,1.1
,Nevada,32,Assault by other and unspecified firearm discharge,X95,83,2098399,4
,Nevada,32,Assault by sharp object,X99,22,2098399,1
,Nevada,32,Assault by unspecified means,Y09,18,2098399,
Total,Nevada,32,,,175,2098399,8.3
Total,New Hampshire,33,,,28,1255517,2.2
,New Jersey,34,Terrorism involving destruction of aircraft,U01.1,692,8492671,8.1
,New Jersey,34,"Assault by hanging, strangulation and suffocation",X91,19,8492671,
,New Jersey,34,Assault by other and unspecified firearm discharge,X95,175,8492671,2.1
,New Jersey,34,Assault by sharp object,X99,68,8492671,0.8
,New Jersey,34,Assault by unspecified means,Y09,50,8492671,0.6
Total,New Jersey,34,,,1051,8492671,12.4
,New Mexico,35,Assault by handgun discharge,X93,25,1831690,1.4
,New Mexico,35,"Assault by rifle, shotgun and larger firearm discharge",X94,11,1831690,
,New Mexico,35,Assault by other and unspecified firearm discharge,X95,31,1831690,1.7
,New Mexico,35,Assault by sharp object,X99,19,1831690,
,New Mexico,35,Assault by other specified means,Y08,14,1831690,
,New Mexico,35,Assault by unspecified means,Y09,13,1831690,
Total,New Mexico,35,,,130,1831690,7.1
,New York,36,Terrorism involving destruction of aircraft,U01.1,1774,19082838,9.3
,New York,36,"Assault by hanging, strangulation and suffocation",X91,45,19082838,0.2
,New York,36,"Assault by rifle, shotgun and larger firearm discharge",X94,27,19082838,0.1
,New York,36,Assault by other and unspecified firearm discharge,X95,553,19082838,2.9
,New York,36,"Assault by smoke, fire and flames",X97,13,19082838,
,New York,36,Assault by sharp object,X99,183,19082838,1
,New York,36,By unspecified person,Y07.9,10,19082838,
,New York,36,Assault by other specified means,Y08,50,19082838,0.3
,New York,36,Assault by unspecified means,Y09,124,19082838,0.6
,New York,36,Sequelae of assault,Y87.1,15,19082838,
Total,New York,36,,,2818,19082838,14.8
,North Carolina,37,"Assault by hanging, strangulation and suffocation",X91,19,8210122,
,North Carolina,37,"Assault by rifle, shotgun and larger firearm discharge",X94,37,8210122,0.5
,North Carolina,37,Assault by other and unspecified firearm discharge,X95,377,8210122,4.6
,North Carolina,37,Assault by sharp object,X99,74,8210122,0.9
,North Carolina,37,Assault by other specified means,Y08,14,8210122,
,North Carolina,37,Assault by unspecified means,Y09,51,8210122,0.6
Total,North Carolina,37,,,599,8210122,7.3
,Ohio,39,"Assault by hanging, strangulation and suffocation",X91,17,11387404,
,Ohio,39,Assault by handgun discharge,X93,22,11387404,0.2
,Ohio,39,"Assault by rifle, shotgun and larger firearm discharge",X94,17,11387404,
,Ohio,39,Assault by other and unspecified firearm discharge,X95,277,11387404,2.4
,Ohio,39,Assault by sharp object,X99,48,11387404,0.4
,Ohio,39,Assault by crashing of motor vehicle,Y03,11,11387404,
,Ohio,39,Assault by bodily force,Y04,10,11387404,
,Ohio,39,By unspecified person,Y07.9,13,11387404,
,Ohio,39,Assault by unspecified means,Y09,70,11387404,0.6
,Ohio,39,Sequelae of assault,Y87.1,13,11387404,
Total,Ohio,39,,,524,11387404,4.6
,Oklahoma,40,"Assault by hanging, strangulation and suffocation",X91,11,3467100,
,Oklahoma,40,"Assault by rifle, shotgun and larger firearm discharge",X94,20,3467100,0.6
,Oklahoma,40,Assault by other and unspecified firearm discharge,X95,106,3467100,3.1
,Oklahoma,40,Assault by sharp object,X99,23,3467100,0.7
,Oklahoma,40,Assault by unspecified means,Y09,33,3467100,1
Total,Oklahoma,40,,,210,3467100,6.1
,Oregon,41,"Assault by hanging, strangulation and suffocation",X91,11,3467937,
,Oregon,41,Assault by handgun discharge,X93,20,3467937,0.6
,Oregon,41,Assault by other and unspecified firearm discharge,X95,21,3467937,0.6
,Oregon,41,Assault by sharp object,X99,21,3467937,0.6
,Oregon,41,Assault by unspecified means,Y09,10,3467937,
Total,Oregon,41,,,100,3467937,2.9
,Pennsylvania,42,Terrorism involving destruction of aircraft,U01.1,28,12298970,0.2
,Pennsylvania,42,"Assault by hanging, strangulation and suffocation",X91,17,12298970,
,Pennsylvania,42,"Assault by rifle, shotgun and larger firearm discharge",X94,13,12298970,
,Pennsylvania,42,Assault by other and unspecified firearm discharge,X95,431,12298970,3.5
,Pennsylvania,42,"Assault by smoke, fire and flames",X97,14,12298970,
,Pennsylvania,42,Assault by sharp object,X99,23,12298970,0.2
,Pennsylvania,42,Assault by other specified means,Y08,54,12298970,0.4
,Pennsylvania,42,Assault by unspecified means,Y09,53,12298970,0.4
Total,Pennsylvania,42,,,671,12298970,5.5
,Rhode Island,44,Assault by other and unspecified firearm discharge,X95,18,1057142,
Total,Rhode Island,44,,,37,1057142,3.5
,South Carolina,45,"Assault by hanging, strangulation and suffocation",X91,17,4064995,
,South Carolina,45,"Assault by rifle, shotgun and larger firearm discharge",X94,24,4064995,0.6
,South Carolina,45,Assault by other and unspecified firearm discharge,X95,195,4064995,4.8
,South Carolina,45,Assault by sharp object,X99,21,4064995,0.5
,South Carolina,45,Assault by other specified means,Y08,46,4064995,1.1
,South Carolina,45,Assault by unspecified means,Y09,20,4064995,0.5
Total,South Carolina,45,,,350,4064995,8.6
Total,South Dakota,46,,,18,757972,
,Tennessee,47,"Assault by hanging, strangulation and suffocation",X91,20,5750789,0.3
,Tennessee,47,Assault by handgun discharge,X93,16,5750789,
,Tennessee,47,"Assault by rifle, shotgun and larger firearm discharge",X94,24,5750789,0.4
,Tennessee,47,Assault by other and unspecified firearm discharge,X95,267,5750789,4.6
,Tennessee,47,Assault by sharp object,X99,62,5750789,1.1
,Tennessee,47,Assault by other specified means,Y08,16,5750789,
,Tennessee,47,Assault by unspecified means,Y09,38,5750789,0.7
Total,Tennessee,47,,,454,5750789,7.9
,Texas,48,"Assault by hanging, strangulation and suffocation",X91,55,21319622,0.3
,Texas,48,Assault by drowning and submersion,X92,10,21319622,
,Texas,48,Assault by handgun discharge,X93,25,21319622,0.1
,Texas,48,"Assault by rifle, shotgun and larger firearm discharge",X94,69,21319622,0.3
,Texas,48,Assault by other and unspecified firearm discharge,X95,779,21319622,3.7
,Texas,48,"Assault by smoke, fire and flames",X97,12,21319622,
,Texas,48,Assault by sharp object,X99,168,21319622,0.8
,Texas,48,Assault by blunt object,Y00,22,21319622,0.1
,Texas,48,Assault by pushing or placing victim before moving object,Y02,26,21319622,0.1
,Texas,48,By unspecified person,Y07.9,14,21319622,
,Texas,48,Assault by other specified means,Y08,42,21319622,0.2
,Texas,48,Assault by unspecified means,Y09,153,21319622,0.7
,Texas,48,Sequelae of assault,Y87.1,20,21319622,0.1
Total,Texas,48,,,1415,21319622,6.6
,Utah,49,Assault by other and unspecified firearm discharge,X95,31,2283715,1.4
,Utah,49,Assault by sharp object,X99,12,2283715,
,Utah,49,Assault by unspecified means,Y09,13,2283715,
Total,Utah,49,,,77,2283715,3.4
Total,Vermont,50,,,14,612223,
,Virginia,51,Terrorism involving destruction of aircraft,U01.1,104,7198362,1.4
,Virginia,51,"Assault by hanging, strangulation and suffocation",X91,16,7198362,
,Virginia,51,Assault by handgun discharge,X93,110,7198362,1.5
,Virginia,51,"Assault by rifle, shotgun and larger firearm discharge",X94,21,7198362,0.3
,Virginia,51,Assault by other and unspecified firearm discharge,X95,144,7198362,2
,Virginia,51,Assault by sharp object,X99,41,7198362,0.6
,Virginia,51,Assault by other specified means,Y08,12,7198362,
,Virginia,51,Assault by unspecified means,Y09,32,7198362,0.4
Total,Virginia,51,,,509,7198362,7.1
,Washington,53,"Assault by hanging, strangulation and suffocation",X91,11,5985722,
,Washington,53,Assault by handgun discharge,X93,12,5985722,
,Washington,53,Assault by other and unspecified firearm discharge,X95,85,5985722,1.4
,Washington,53,Assault by sharp object,X99,21,5985722,0.4
,Washington,53,Assault by unspecified means,Y09,34,5985722,0.6
Total,Washington,53,,,195,5985722,3.3
,West Virginia,54,Assault by other and unspecified firearm discharge,X95,30,1801481,1.7
,West Virginia,54,Assault by unspecified means,Y09,11,1801481,
Total,West Virginia,54,,,68,1801481,3.8
,Wisconsin,55,"Assault by hanging, strangulation and suffocation",X91,10,5406835,
,Wisconsin,55,Assault by handgun discharge,X93,99,5406835,1.8
,Wisconsin,55,"Assault by rifle, shotgun and larger firearm discharge",X94,20,5406835,0.4
,Wisconsin,55,Assault by other and unspecified firearm discharge,X95,15,5406835,
,Wisconsin,55,Assault by sharp object,X99,21,5406835,0.4
,Wisconsin,55,Assault by unspecified means,Y09,14,5406835,
Total,Wisconsin,55,,,214,5406835,4
Total,Wyoming,56,,,16,494657,
Total,,,,,20308,284968955,7.1
---,,,,,,,
